prefix,graph size, mean degree, degree standard dev, mean CC, CC standard dev, # connected components
s,2658,9.08377518558,10.4913090879,0.465802088384,0.332767014424,39
su,243,1.77591036415,1.95041676874,0.36914836421,0.403427850038,29
sup,46,1.01123595506,1.38608155168,0.355072463768,0.447473272785,12
supe,25,0.981132075472,1.44706033878,0.276,0.400834684682,6
super,25,0.981132075472,1.44706033878,0.276,0.400834684682,6
