prefix,graph size, mean degree, mean CC,# connected components
a,1211,4.52941176471,0.422689507286,59
an,99,1.09941520468,0.341077441077,27
ant,34,1.33333333333,0.521568627451,9
anti,18,0.965517241379,0.296296296296,6
