prefix,graph size, mean degree, mean CC,# connected components
t,934,3.75979112272,0.434671773366,50
tr,204,2.62706270627,0.456700970168,20
tra,75,2.27338129496,0.553313255945,10
tran,48,2.89189189189,0.762215160928,9
trans,48,3.14705882353,0.762215160928,9
